"Age","Sig1Mean","Sig1Med","Sig1RobMean","Sig7Mean","Sig7RobMean","Sig7Med","Gender"
"1",18,21,21,21,241,241,241,"MALE"
"2",19,23.5,23.5,22.8473193175917,323,290.599380591219,323,"MALE"
"3",20,46,46,46,401,401,401,"MALE"
"4",23,5,5,5,208,208,208,"MALE"
"5",24,20,20,19.7737199332852,379,369.799945916708,379,"MALE"
"6",25,50.6666666666667,53,53,732,457,457,"MALE"
"7",26,18,18,18,602,602,602,"MALE"
"8",30,11.6666666666667,12,12,379.333333333333,388,388,"MALE"
"9",33,20,20,20,217,217,217,"MALE"
"10",34,48.5,48.5,40.6201920231798,1135.5,795.267250677406,1135.5,"MALE"
"11",35,27,27,27,509,509,509,"MALE"
"12",36,31.6666666666667,35,35,453,545,545,"MALE"
"13",37,13.5,13.5,9.59166304662544,163.5,138.115893364956,163.5,"MALE"
"14",38,43,43,43,395,395,395,"MALE"
"15",39,31.8,20,20,714.8,262,262,"MALE"
"16",40,24.6666666666667,26,26,193.333333333333,222,222,"MALE"
"17",41,2,2,2,374,374,374,"MALE"
"18",42,33.6,22,22,400,135,135,"MALE"
"19",43,56.3333333333333,51,49.0407993409569,824,497.634403955353,561,"MALE"
"20",44,50,50,46.6476151587624,991,926.757789284774,991,"MALE"
"21",45,32.6666666666667,31,25.2388589282479,523.333333333333,537.84291386984,542,"MALE"
"22",46,21,21,21,369.5,361.911591414257,369.5,"MALE"
"23",47,35.75,30.5,30,959.75,1136.05325579393,1149,"MALE"
"24",48,26.375,17.5,16.2480768092719,604.375,709.495595476111,709.5,"MALE"
"25",49,45.5,39.5,37.7888872553824,935.166666666667,899.766636411908,945.5,"MALE"
"26",50,19.6666666666667,19,19,122.666666666667,1.02542387155199,0,"MALE"
"27",51,28.3333333333333,28.5,28.2842712474619,385.833333333333,369.256008752735,376.5,"MALE"
"28",52,44.375,27,27.1574748450551,398.5,178.720452103278,179,"MALE"
"29",53,14.3333333333333,9,9,314.333333333333,413,413,"MALE"
"30",54,40.5714285714286,33,32.6572666652213,827.428571428571,256,256,"MALE"
"31",55,28.875,23.5,23.6556573818084,242.625,93.0161276338679,124,"MALE"
"32",56,20,18,18.1552754991862,137,8.60232526704262,19.5,"MALE"
"33",57,27.5,14.5,14.4834332365414,340,214.242852856286,220,"MALE"
"34",58,7.2,8,7.89176115652403,246.8,252,252,"MALE"
"35",59,75.5,75.5,55.208694967369,1103,562.145888537842,1103,"MALE"
"36",60,43,37.5,34.1467421579278,928.25,581.422393789575,626,"MALE"
"37",61,28.5,28.5,24.5356882927706,717,701.558978276239,717,"MALE"
"38",62,47.1428571428571,52,52,910.714285714286,545,545,"MALE"
"39",63,49.9,31.5,31.6572345311315,438.4,339.764624409311,371,"MALE"
"40",64,30,30,10.770329614269,447,42.2374241638858,447,"MALE"
"41",65,71.25,77.5,77.3045923603507,664.5,655.724789831832,656,"MALE"
"42",66,39.8333333333333,41.5,40.8166632639171,496.666666666667,281.126306133026,289,"MALE"
"43",67,28,27,23.6643191323985,946.25,459.760807377053,466,"MALE"
"44",68,68.7142857142857,34,33.490377572458,1327.85714285714,451,451,"MALE"
"45",69,45,46,45.6070170039655,420.5,490.082646091453,491,"MALE"
"46",70,59.4285714285714,18,18,1116.57142857143,810,810,"MALE"
"47",71,50,40.5,40.5,854.9,730.753036257805,731,"MALE"
"48",72,41.75,29,29.1583039957174,952.75,358.591689808897,385.5,"MALE"
"49",73,101.666666666667,97.5,96.9329665284211,1370.33333333333,932.474128327429,934.5,"MALE"
"50",74,39.4,37,37,618.8,362,362,"MALE"
"51",75,34.3333333333333,27,27,1357,187,187,"MALE"
"52",76,59,59,59,0,4.15764359551784e-07,0,"MALE"
"53",77,44.1428571428571,45,45,822.285714285714,593,593,"MALE"
"54",78,121.2,115,115,2161.6,2120,2120,"MALE"
"55",79,15.25,13.5,13.6493613080155,425.25,262.571894916421,263,"MALE"
"56",80,49.6666666666667,62,61.5000000001261,608.333333333333,597,597,"MALE"
